Schema:sameAs	dc:identifier	2 schema:name	schema:description	schema:url	schema:email	Scope of the Initiative	7 rdf:type	schema:streetAddress	schema:locality	Schema:country
	673093	Aalto University School of Economics		http://econ.aalto.fi/en/		Regional	schema:Organization	Runeberginkatu 14-16	Helsinki	FI
http://lobid.org/oer/227ea4ad-faa6-4fe1-958a-e677f0f4cd57#!	673094	ABED	Association for Distance learning in Brazil	http://www2.abed.org.br	abed@abed.org.br	National	schema:Organization		S\u00e3o Paulo	BR
	673095	Academic Earth	An attractive, easy-to-use site that for users to find, interact with, and learn from full video courses and lectures from the world’s leading scholars.	http://academicearth.org/	hello@academicearth.org	Global	schema:Service	450 9th Street	San Francisco, CA	US
	673097	Acharya Narendra Dev College (University of Dehli)	Acharya Narendra Dev College was established in 1991 as a constituent college of University of Delhi and is fully funded by Government of NCT, Delhi	http://andcollege.du.ac.in	principalandc@gmail.com	Regional	schema:Service	Govindpuri, Kalkaji	110019 New Dehli	IN
	673098	Achieve	"Achieve is an independent, nonpartisan, nonprofit education reform organization dedicated to working with states to raise academic standards and graduation requirements, improve assessments, and strengthen accountability. Created in 1996 by a bipartisan group of governors and business leaders, Achieve is leading the effort to make college and career readiness a priority across the country so that students graduating from high school are academically prepared for postsecondary success.

Information on Achieve's OER initiatives is available at http://www.achive.org/oer-rubrics.

To help states, districts, teachers, and other users determine the degree of alignment of OER to the Common Core State Standards, and to determine aspects of quality of OER, Achieve has developed eight rubrics in collaboration with leaders from the OER community (download link for rubrics below). To allow users to apply these rubrics and evaluate the quality of instructional resources, Achieve partnered with OER Commons to develop an online evaluation tool. OER Commons, an online repository for open education resources, is now hosting the tool and its resulting evaluation data. 

Building on this work, seven states—California, Illinois, Louisiana, Minnesota, North Carolina, Washington, and Wisconsin—agreed to work together in Achieve’s OER Institute. The goal of OER Institute is to bring these states together to discuss issues and policy barriers surrounding using OER in college- and career-ready standards implementation. This ongoing, year-long effort has included webinars for states to discuss these issues, such as the use of open licensing and measures of quality, as well as an in-person convening in November 2012 for state teams to share current progress in using OER and engage in strategic planning activities to use OER in their transition to new standards. Below is the OER Planning Framework and presentation slides used as part of the November 2012 in-person convening. Achieve will be continuing this work through providing virtual and in-person convenings for OER Institute states, providing  state-specific assistance to implement plans related to OER and hosting OER materials review sessions."	http://www.achieve.org		National	schema:Service	1400 16th St. NW, Suite 510	Washington, DC	US
	673099	Across World Education	AcrossWorld Education (AWE) is an international education company that empowers institutions and organizations with the ability to maximize the value of Open Content and Open Educational Resources (OER).	http://www.acrossworld.com		Global	schema:Service	313 Congress Street, Suite 175	Boston	US
	673100	ADM OER	The Art Design Media Subject Centre (ADM-HEA) was established in 2000 to support and enhance learning and teaching in higher education art, design, media theory and practice, the history of art and design and cultural studies subjects.	http://www.adm.heacademy.ac.uk/		National	schema:Service	68 Grand Parade	Brighton	GB
	673101	ADUni.org	Website of the alumni of ArsDigita University (ADU), a one-year, intensive post-baccalaureate program in Computer Science based on the undergraduate course of study at MIT. The programme was forced to shut down in 2001, but the course materials are available.	http://aduni.org/		National	schema:Service		Boston, MA	US
http://lobid.org/oer/49b35e71-3260-45de-af75-13f9916bca1f#!	673102	African virtual University	The African Virtual University (AVU) is a Pan African Intergovernmental Organization established by charter with the mandate of significantly increasing access to quality higher education and training through the innovative use of information communication technologies.	http://www.avu.org/	contact@avu.org	Global	schema:Service	Ring Road, Kilimani	Nairobi	KE
	673103	Agro-Know Technologies	Agro-Know Technologies is a small-sized, research-oriented enterprise that focuses on knowledge-intensive technology innovation for agriculture and rural development.	http://www.agroknow.gr	info@agroknow.gr	National	schema:Service	Grammou 17, 15235 Vrilissia	Athens	GR
	673104	Agrupamento vertical de escolas Dr. Joaquim Magalhães		http://avejmagalhaes.pt	secretariajm2010@gmail.com	National	schema:Service	Hota do Ferragial	Faro	PT
	673105	ALTO	ALTO is an initiative funded by HEFCE to develop the capacity of the UAL to participate in the rapidly developing open educational community.	http://alto.arts.ac.uk/	alto@arts.ac.uk	National	schema:Service		London	GB
	673106	AMAQUEN	An association in French teaching and Learning.	http://amaquen.org	amaquen@amaquen.org	National	schema:Organization		Rabat	MA
	673107	Annamalai University	Directorate of Distance Learning	http://annamalaiuniversity.ac.in	info@annamalaiuniversity.ac.in	National	schema:Organization	Annamalai Nagar, Cuddalore Dt	Tamil Nadu	IN
	673108	Ariadne	"Projects focus on the development of tools and methodologies for producing, managing and reusing computer-based pedagogical elements and telematics.
Benefits &amp; Services to Members
* Users involved:
- Authors of pedagogical documents: Faculty, Education Ma"	http://www.ariadne-eu.org		National	schema:Service		Leuven	BE
	673109	Asia Education Foundation	The Asia Education Foundation (AEF) provides schools with facilities. teachers and principals with a range of resources and services that engage young Australians with Asia. The Asia Education Foundation (AEF) provides schools, teachers and principals with a range of resources and services that engage young Australians with Asia.	http://www.asiaeducation.edu.au/default.asp	aef@asialink.unimelb.edu.au	National	schema:Service	The University of Melbourne VIC 3010	Melbourne	AU
	673110	Asociacion Civil Humanity	Association	http://www.humanity.org.ve/#s2	master@humanity.org.ve	National	schema:Service		Beruta	VE
	673111	Association of African Universities	The Association of African Universities (AAU) is the apex organization and forum for consultation, exchange of information and co-operation among institutions of higher education in Africa.	http://www.aau.org/		Global	schema:Organization	11 Aviation Road Extension, Airport Area	Accra	GH
	673112	Atheneum Liberal Studies	A Technological Center for the University of Athens	http://www.atheneum.gr	info@cie.gr	National	schema:Service	Filaloau 56	Athens	GR
	673113	AVO-SOMETU Project	This is a tool to help expand knowledge, and also promotes business, eDemocracy, citizen activism and leisure activities in the digital age. Development of SOMETU is supported by the AVO-Project at present.	http://sometu.ning.com/		Institutional	schema:Organization			FI
	673114	Azerbaijan Technical University	National University	http://aztu.edu.az	 info@aztu.edu.az	National	schema:Service		Baku	AZ
	673115	Bangladesh NGOs Network for Radio and Communication	BNNRC is a national networking body on alternative mass media working for building a democratic society based on the principles of free flow of information, equitable &amp; affordable access to Information, Communication Technology (ICT) for remote &amp; marginalized population.	http://www.bnnrc.net		National	schema:Service		Dhaka	BD
